column_name,mean,std,min,max,missing_count
Air Temperature,12.649954089787911,10.429454361657351,-29.78,37.6,75
Wet Bulb Temperature,10.293834681580611,9.39914633543817,-28.9,28.4,75736
Humidity,68.02142507095746,15.638536346391906,0.0,100.0,0
Rain Intensity,0.15906987582809015,1.7955486312030908,0.0,183.6,75736
Interval Rain,0.1425258816082331,1.0979756386432937,-0.9,63.42,0
Total Rain,141.64777289523616,190.58511489316933,0.0,1056.1,75736
Precipitation Type,4.255592729451712,15.568216617932155,0.0,70.0,75736
Wind Direction,140.84524125538562,121.95330949963235,0.0,359.0,0
Wind Speed,2.91941273763094,5.347401972843766,0.0,999.9,0
Maximum Wind Speed,3.5600902538133257,5.959800435262408,0.0,999.9,0
Barometric Pressure,994.3096145004241,10.033312631518976,0.0,3098.5,146
Solar Radiation,112.5017050211341,843.6979612725354,-100000.0,1277.0,0
Heading,281.83521422151205,142.86171237621747,0.0,359.0,75736
Battery Life,13.162528331938006,1.5445121817832148,0.0,15.3,0
