,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Total Rain,Wind Speed,Wind Direction,Barometric Pressure,comfort_index,Solar Radiation
Air Temperature,1.0,0.980753075459263,0.008421649549813622,0.005796901885267223,0.420355915901465,-0.07720382049859525,-0.10514325117723704,-0.16673918674733582,0.6500435754350871,0.0652603808982585
Wet Bulb Temperature,0.980753075459263,1.0,0.16403823303391413,0.02589974322850385,0.44345345634876776,-0.06585947806240063,-0.21585571037980467,-0.1865168992460449,0.4993498285559639,0.05354030422922229
Humidity,0.008421649549813622,0.16403823303391413,1.0,0.11447466031969164,0.10857142542043172,0.011803310732949107,-0.13830746127643184,-0.12149955754524192,-0.714054008579978,-0.031203663245572114
Rain Intensity,0.005796901885267223,0.02589974322850385,0.11447466031969164,1.0,0.016260158573975194,0.022310657324483125,-0.003911585310091846,-0.05135092354685129,-0.08301616761591604,-0.009149297496090407
Total Rain,0.420355915901465,0.44345345634876776,0.10857142542043172,0.016260158573975194,1.0,-0.017917160171045443,-0.029084847881363955,0.003029262212309804,0.18443597506756138,0.02343988755843249
Wind Speed,-0.07720382049859525,-0.06585947806240063,0.011803310732949107,0.022310657324483125,-0.017917160171045443,1.0,-0.026572155542632134,-0.013375789881760783,-0.30267515720699656,-0.11133024902695925
Wind Direction,-0.10514325117723704,-0.21585571037980467,-0.13830746127643184,-0.003911585310091846,-0.029084847881363955,-0.026572155542632134,1.0,-0.02450378892787124,0.03867348560483584,-0.042073149162386615
Barometric Pressure,-0.16673918674733582,-0.1865168992460449,-0.12149955754524192,-0.05135092354685129,0.003029262212309804,-0.013375789881760783,-0.02450378892787124,1.0,-0.015910498599796156,0.0002834059891057979
comfort_index,0.6500435754350871,0.4993498285559639,-0.714054008579978,-0.08301616761591604,0.18443597506756138,-0.30267515720699656,0.03867348560483584,-0.015910498599796156,1.0,0.09121493715613346
Solar Radiation,0.0652603808982585,0.05354030422922229,-0.031203663245572114,-0.009149297496090407,0.02343988755843249,-0.11133024902695925,-0.042073149162386615,0.0002834059891057979,0.09121493715613346,1.0
