feature,importance,rf_importance
month,0.3423883,0.4294572960730896
total_rain_rolling_mean_24h,0.20274134,0.29486129869563843
Station Name_Foster Weather Station,0.06701432,0.00016972133354610391
Barometric Pressure,0.062453516,0.037548072962340584
Station Name_Oak Street Weather Station,0.048213653,0.0004416783332594226
Battery Life,0.035461064,0.0010426332873566839
solar_radiation_rolling_mean_7h,0.02933525,0.013286080788062458
pressure_rolling_7h,0.027299743,0.012123733055263937
Humidity,0.026528182,0.025711009775722167
Wind Direction,0.026104782,0.013430635653569821
day_of_month,0.021434883,0.03658156519130163
Solar Radiation,0.01991201,0.0021868422955750623
year,0.016143726,0.013320361377158122
Wind Speed,0.0145102795,0.00043437857676397606
Heading,0.013011726,0.0006856927543397053
Total Rain,0.011258958,0.013641876876275789
hour,0.006981955,0.0013301357701902081
barometric_pressure_rolling_mean_7h,0.0049677524,0.0026396193841510054
day_name_Thursday,0.004614105,0.00042441617568638937
day_of_week,0.0044248733,0.0022470683570603375
day_name_Wednesday,0.0044174353,0.00025630436710415253
Maximum Wind Speed,0.0041076425,0.0004921482653752385
day_name_Tuesday,0.0037563564,0.00025700904597530233
day_name_Saturday,0.0022103463,0.0006853078211225197
Wind Speed Categories_Very Slow,0.0007078175,1.9495046351477676e-06
Wind Speed Squared,0.0,0.0005262027550119304
day_name_Monday,0.0,0.00027094655407382273
quarter,0.0,0.09558710973787148
day_name_Sunday,0.0,0.00013287482429708683
Rain Intensity,0.0,0.0
Precipitation Type,0.0,0.0
Interval Rain,0.0,0.0
is_weekend,0.0,0.00022603040818187952
